Lĩnh vực,Tên ngành/ chương trình đào tạo,Bằng tốt nghiệp,Thời gian đào tạo,Tổ hợp môn xét tuyển,Mã tuyển sinh,Chỉ tiêu dự kiến
Máy tính và Công nghệ thông tin,Công nghệ thông tin,Cử nhân,4 năm,A00  A01  D01,CN1,260
Máy tính và Công nghệ thông tin,Kỹ thuật máy tính,Kỹ sư,"4,5 năm",A00  A01  D01,CN2,320
Máy tính và Công nghệ thông tin,Khoa học Máy tính,Cử nhân,4 năm,A00  A01  D01,CN8,320
Máy tính và Công nghệ thông tin,Trí tuệ nhân tạo,Cử nhân,4 năm,A00  A01  D01,CN12,240
Máy tính và Công nghệ thông tin,Hệ thống thông tin,Cử nhân,4 năm,A00  A01  D01,CN14,160
Máy tính và Công nghệ thông tin,Mạng máy tính và truyền thông dữ liệu,Kỹ sư,"4,5 năm",A00  A01  D01,CN15,80
Công nghệ kỹ thuật,Công nghệ kỹ thuật xây dựng,Kỹ sư,"4,5 năm",A00  A01  D01,CN5,160
Công nghệ kỹ thuật,Công nghệ kỹ thuật cơ điện tử,Cử nhân,4 năm,A00  A01  D01,CN6,160
Công nghệ kỹ thuật,Công nghệ Hàng không vũ trụ,Kỹ sư,"4,5 năm",A00  A01  D01,CN7,160
Công nghệ kỹ thuật,Công nghệ kỹ thuật điện tử – viễn thông,Cử nhân,4 năm,A00  A01  D01,CN9,320
Công nghệ kỹ thuật,Công nghệ nông nghiệp,Kỹ sư,"4,5 năm",A00  A01  B00,CN10,60
Kỹ thuật,Vật lý kỹ thuật,Cử nhân,4 năm,A00  A01  D01,CN3,160
Kỹ thuật,Cơ kỹ thuật,Kỹ sư,"4,5 năm",A00  A01  D01,CN4,80
Kỹ thuật,Kỹ thuật điều khiển và tự động hóa,Kỹ sư,"4,5 năm",A00  A01  D01,CN11,160
Kỹ thuật,Kỹ thuật năng lượng,Kỹ sư,"4,5 năm",A00  A01  D01,CN13,80
Kỹ thuật,Kỹ thuật Robot,Kỹ sư,"4,5 năm",A00  A01  D01,CN17,80
Kỹ thuật,Thiết kế công nghiệp và đồ họa,Cử nhân,4 năm,A00  A01  D01,CN18,160
