STT,Mã ngành,Tên ngành,Chỉ tiêu,Phương thức xét tuyển,Tổ hợp
1,7140231,Sư phạm tiếng Anh,150,Ưu TiênĐGNL HN,
1,7140231,Sư phạm tiếng Anh,150,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01
2,7140234,Sư phạm tiếng Trung Quốc,25,Ưu TiênĐGNL HN,
2,7140234,Sư phạm tiếng Trung Quốc,25,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01; D45; D65; D25; D04; D35; D30
3,7140236,Sư phạm tiếng Nhật,25,Ưu TiênĐGNL HN,
3,7140236,Sư phạm tiếng Nhật,25,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01; D43; D63; D23; D06; D33; D28
4,7140237,Sư phạm tiếng Hàn Quốc,25,Ưu TiênĐGNL HN,
4,7140237,Sư phạm tiếng Hàn Quốc,25,Học BạĐT THPTKết Hợp,"D15; D14; D07; D01; D08; A01; (Văn, Lí, Tiếng Hàn); (Văn, Sử, Tiếng Hàn); AH2; ĐD2; (Toán, sinh, Tiếng Hàn); AH3"
5,7220101,Tiếng Việt và Văn hóa Việt Nam,50,Ưu TiênĐGNL HN,
5,7220101,Tiếng Việt và Văn hóa Việt Nam,50,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01
6,7220201,Ngôn ngữ Anh,795,Ưu TiênĐGNL HN,
6,7220201,Ngôn ngữ Anh,795,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01
7,7220202,Ngôn ngữ Nga,70,Ưu TiênĐGNL HN,
7,7220202,Ngôn ngữ Nga,70,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01; D42; D62; D22; D02; D32; D27
8,7220203,Ngôn ngữ Pháp,150,Ưu TiênĐGNL HN,
8,7220203,Ngôn ngữ Pháp,150,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01; D44; D64; D24; D03; D34; D29
9,7220204,Ngôn ngữ Trung Quốc,300,Ưu TiênĐGNL HN,
9,7220204,Ngôn ngữ Trung Quốc,300,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01
10,7220205,Ngôn ngữ Đức,120,Ưu TiênĐGNL HN,
10,7220205,Ngôn ngữ Đức,120,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01; D41; D61; D21; D05; D31; D26
11,7220209,Ngôn ngữ Nhật,300,Ưu TiênĐGNL HN,
11,7220209,Ngôn ngữ Nhật,300,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01; D43; D63; D23; D06; D33; D28
12,7220210,Ngôn ngữ Hàn Quốc,280,Ưu TiênĐGNL HN,
12,7220210,Ngôn ngữ Hàn Quốc,280,Học BạĐT THPTKết Hợp,"D15; D14; D07; D01; D08; A01; (Văn, Lí, Tiếng Hàn); (Văn, Sử, Tiếng Hàn); AH2; ĐD2; (Toán, sinh, Tiếng Hàn); AH3"
13,7220211,Ngôn ngữ Ả Rập,60,Ưu TiênĐGNL HN,
13,7220211,Ngôn ngữ Ả Rập,60,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01
14,7220212,Văn hóa truyền thông xuyên quốc gia,50,Ưu TiênĐGNL HN,
14,7220212,Văn hóa truyền thông xuyên quốc gia,50,Học BạĐT THPTKết Hợp,D15; D14; D07; D01; D08; A01
